Job Title,Company,Location,Salary,Date Posted,Todays Date,Summary,URL
.NET Full Stack Web Developer - Telecommute,Optum,"Remote in San Diego, CA 92102",Not Listed,PostedPosted 30+ days ago,2022-07-26,"This position is primarily self-driven with team code reviews, project integration, and business goals that involve larger groups of developers.",https://www.indeed.com/rc/clk?jk=e35804282b64f084&fccid=3c38342724c75954&vjs=3
Python Full Stack Developer,IBM,"San Diego, CA 92101",Estimated $114K - $145K a year,PostedPosted 14 days ago,2022-07-26,Looking for resource to have some reference architecture in mind and be able make recommendations on specific future stack.,https://www.indeed.com/rc/clk?jk=6167048244ef6ffd&fccid=de71a49b535e21cb&vjs=3
Staff Software Engineer (Full Stack) Remote - Job Seeker - Job Search FE Experience,Indeed,"Remote in San Diego, CA+1 location",Not Listed,PostedPosted 30+ days ago,2022-07-26,"Experience with full-stack application development using Java and Javascript; experience in React a plus.
This team is responsible for creating a world class…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CiRNM7CVr8YueLFKlzwbFWI0o7IjV438l4sVrvKZ0flpURU_mqoI8E-VxPfg2eTCEFtb7kWok64ZHw3sCXHVMzyOdQIu3cMZqD24HQwB1EAMZypvjO7QN9xZwB3GH2sWNymOPlOgtZyGxuy6PKz4-Mh6cZ2z3LIw_NKpznp5Rwgv_uc38KFSs_ISD1_0Id9gMZZDfsfQttomYkErUVO_g2C3hn3sciSV4vmRZSrr7Bl1evs_ae3LBuH5ccZKBfVMbZ_2VjZrpOr6fmIUb0AHG3CueIxoeFiPZHNG-DloAruIXjsontHr4sdpaYzOTwbpAyooDDdD2E_W5Bp4pmSoHGbN6ii5tQYNQbHGjbTuXT5X6xxjcNNM6FzmLhIKEcNa7Yt2mXzTvqr-CMKwdJhstQuGmU4lODW6GtabxAPwhhrUiyafxtk1uR64zjKraKMDZ1mjo4syYw1JRCE8yInqDYSvzR-1_Ee3VU617h4fPwPCdPw1gpRTSzNUx3Tn2bybK1dKfWsCuUcyPTlB1dN8w6N1JQb7gavTK2ZkuFrqe-Z0y5zRPYyz0dKYrKlCSj-_3VZleGXxsNWQ==&xkcb=SoAR-_M3bepz8HAdPj0KbzkdCdPP&p=2&fvj=0&vjs=3
Full Stack Web Engineer,Apple,"San Diego, CA+5 locations",Not Listed,PostedPosted 1 day ago,2022-07-26,Apple's Data Analytics team is looking for an experienced and motivated full stack web developer to help build the future of our data analytics platform.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvKrLyj5gPmtZO9T8euul8TCxuuKNOtzRJOomxnwSEodTz2Bc-sPZlC5mDe-NOaJjjFKeRLciJQCgw-DsBoAqndTQDEN4KSVd-hferKnblUJIpbteiVLLWDYr62YB2A19el5rjgpj2SWS4AGwOZrxBoM27V6hztR8692l4DtafL0zjOkNxjzSC7jve23kMITldTzkR0UySGW-PUbwMwEQ03CsoQFTumkzWBhFBh3va6pnEflbCz8Z2GJZ0sp2Db_0DP45GAKZqXKy2dFbaYfha6A4njw1lbYM2lgQc1xaWQA9A_WxnDxE46Qc7YziaPQgkR6elXmCA5CcQJAS9kJHQdTRkyEaLHQpLUtVZj4VbiF9PEqFNawbpBfvMBWieOKoGnarN3_Qe3gZ37lcmqJRknhT0Z4vneIPraX7hxrmTWYK7-g28Afw_lIRmt63nGjE0-leyQ5gPiRDh_DkFKwdWk12N6Y8TFzq4g-7uipu-9SmDmVnQnELGNHQY9yKeeIow65RMWGE9Cf7fVwLSEg0WIEuVRg59eBcXR0jgoo1kMcflsZw7SAbaw0MfxFVHmReNqubSMbZEofhRfP1ZRCNjED5xK4IjVyGitY4C63ueRETXH8ywxY7XvtwnLPnlA5eqA0bdL4WGciVzRvQP0Rj-wQ4c9AIxxSFummua2Fkri_tdhfAQ1fILL470s1o7xPoJj3n3XITQFlurZ-m243cgO9HzdxOEyWU6mUIkiL4nCVcdhUIeZPunQbvvSmJ-DEPVGsuhks-2pq3Oh2vJXDYT2dL-yrd59F9Z5nOundkdkv8Ud4daygGhd72rr9oPyzH3SwmPBZnFiB3NbiDoQGxdNmWUsuK0wD96D9daUBiwgnOqD1kCJJ03GKZ1VgmFDS0lLgTDjMfE2L6pOXvQMRb8gHMo2a8_sXruxivwYSHluP_wSp7ka-xw99hXxSscxscVHMcx3VAH9m8LC0JXI7aDdXz7b2v6i_UxBNrNGnI0c7j2-qAQjY_AoshWZJE2Y9g=&xkcb=SoA4-_M3bepz8HAdPj0IbzkdCdPP&p=3&fvj=0&vjs=3
Full Stack Developer - REMOTE,Strategic Data Systems,"Remote in San Diego, CA",Not Listed,PostedPosted 4 days ago,2022-07-26,"The Full-Stack developer is responsible for working on both front-end and back-end development processes.
Naval Base Port Hueneme, CA 93043 _(Remote)_.",https://www.indeed.com/company/Strategic-Data-Systems/jobs/Full-Stack-Developer-8de344d68039b3d0?fccid=7195f9d9a703fd11&vjs=3
Full Stack Engineer,"Point Predictive, Inc.","San Diego, CA 92130 (Carmel Valley area)",Estimated $113K - $143K a year,EmployerActive 8 days ago,2022-07-26,"Ensuring the entire stack is designed and built for speed and scalability.
PointPredictive is a fast-growing technology start-up that leverages a patented…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOW4fCk9cc7jQzSIBX1_D010Ut2Hs8InqQbXL6yxOe-oaSo5MVJljlzbyo3VxALwFbhwxcAt-t-OYj7W-RCRCiJk84LsSjCGX6_ac1saLyP69vhm8C1p2-KyhJWaKX4vj-5FCS3QhTaf6-f56aqiN-d6c52I5vqIcfAqlFnQEjpDDZpyDxE5eK9RYcsrpRYzJomM9n9YHfNF1iHghxLg3gjPfC2Vw3Iye4e8ScTAYyJo_N2SskzJwCZG-1BOUgbirLtewOOky_52RJ4fgMpDe-HapW9R9oijfEO_ARu0SrZQmqA30R6deymjeT8RG-l9bwNrIrO64ffeiTS4k2GxRRIjwCB34du18leoM5SlqevTJ-cSM9ywkCFZLAvFgzOciChqtBvYVC_Ojk1aDb62yfIWIbOan5qeL9QLFcqfokpnkEswFO1BxqXu0sLQAW55qUaiVzVLVbQrXOUq_Jy0XejfkJmxp3znxJGoQrEvoqgAjwezTYTNzsv_vxPviscfgeGXIYivZ_-Q==&xkcb=SoBU-_M3bepz8HgdPj0KbzkdCdPP&p=5&fvj=1&vjs=3
Java Full Stack Developer- Full Time,"Simplex info systems Inc,","San Diego, CA",Estimated $105K - $133K a year,PostedPosted 8 days ago,2022-07-26,"The skills requirement is Full stack Java with API development, and some AWS knowledge and some Kubernetes knowledge.","https://www.indeed.com/company/Simplex-info-systems-Inc,/jobs/Java-Full-Stack-Developer-a4fec32cd497e66d?fccid=1047295f83c7d2ff&vjs=3"
Full Stack Engineer - Senior,Astreya,"San Diego, CA+2 locations",Estimated $107K - $135K a year,PostedPosted 6 days ago,2022-07-26,"The Software Engineer designs, develops, troubleshoots and debugs software programs for enhancements and new products.
Must be able to use a computer.",https://www.indeed.com/rc/clk?jk=6492d650327049a3&fccid=f7fcb231ff95ee5c&vjs=3
Front End / Full Stack Developer,General Dynamics Information Technology,"San Diego, CA",Estimated $98.5K - $125K a year,PostedJust posted,2022-07-26,"Development occurs using an Agile methodology with two-week sprints.
Development of GUI interfaces using NodeJS and Angular JS.",https://www.indeed.com/rc/clk?jk=067dc47833ab4624&fccid=11caadcdc98800d4&vjs=3
FULL STACK DEVELOPMENT OPPORTUNITY (FULL-TIME) – 100% Remote,Performance,"Remote in San Diego, CA 92121",Estimated $108K - $137K a year,PostedPosted 4 days ago,2022-07-26,The work involves the full complement of software life cycle development activities required to deploy high quality software that meets the requirements of our…,https://www.indeed.com/rc/clk?jk=48cdda2fcd21aa75&fccid=74033d9ad24cc449&vjs=3
